epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,525.782,1.40531,1.17304,1.22029,0.7835,0.69231,0.79488,0.35105,1.84781,1.56743,1.41927,0.0078616,0.0078616,0.0078616
56,535.257,1.35133,1.22,1.17747,0.77434,0.79195,0.84303,0.45655,1.61889,1.31341,1.30827,0.007822,0.007822,0.007822
57,544.653,1.27853,1.11907,1.18862,0.75424,0.82051,0.8435,0.49018,1.51802,1.35745,1.28327,0.0077824,0.0077824,0.0077824
58,554.099,1.29474,1.13691,1.15314,0.69352,0.84615,0.86406,0.47038,1.69293,1.37616,1.43738,0.0077428,0.0077428,0.0077428
59,563.493,1.2695,1.08241,1.18442,0.79532,0.71795,0.83109,0.4662,1.76634,1.4299,1.49368,0.0077032,0.0077032,0.0077032
60,572.904,1.33355,1.1078,1.19387,0.91999,0.58968,0.78608,0.45782,1.64805,1.51397,1.41943,0.0076636,0.0076636,0.0076636
61,582.323,1.28675,1.08514,1.15545,0.83845,0.66541,0.78365,0.39494,1.74211,1.61066,1.42707,0.007624,0.007624,0.007624
62,591.759,1.26943,1.05803,1.14733,0.7282,0.79487,0.80129,0.47554,1.61807,1.52934,1.35863,0.0075844,0.0075844,0.0075844
63,601.143,1.25604,1.05543,1.1436,0.76361,0.69231,0.74375,0.4019,1.78553,1.6338,1.41356,0.0075448,0.0075448,0.0075448
64,610.54,1.315,1.06959,1.16319,0.91398,0.64103,0.76317,0.38163,1.8016,1.59402,1.41849,0.0075052,0.0075052,0.0075052
65,619.941,1.23867,0.97247,1.12194,0.89199,0.71795,0.80377,0.42962,1.71956,1.56979,1.39251,0.0074656,0.0074656,0.0074656
66,629.435,1.3078,1.07513,1.16456,0.79022,0.67628,0.75946,0.34475,1.85251,1.57574,1.47761,0.007426,0.007426,0.007426
67,638.867,1.26792,1.03821,1.15668,0.82415,0.58974,0.73699,0.45648,1.48175,1.59418,1.27683,0.0073864,0.0073864,0.0073864
68,648.294,1.27627,0.98898,1.16347,0.64956,0.66667,0.6612,0.35118,1.78953,1.761,1.44951,0.0073468,0.0073468,0.0073468
69,657.649,1.23979,1.02249,1.13287,0.81775,0.51282,0.59627,0.3472,1.72658,1.99179,1.4563,0.0073072,0.0073072,0.0073072
70,667.073,1.20103,0.9482,1.15644,0.7876,0.66558,0.72123,0.39024,1.7133,1.75714,1.45895,0.0072676,0.0072676,0.0072676
71,676.481,1.20682,0.9623,1.16579,0.74637,0.67927,0.69095,0.32102,1.86127,1.86631,1.54232,0.007228,0.007228,0.007228
72,685.894,1.22164,0.95215,1.14695,0.88463,0.66667,0.73051,0.37536,1.68076,1.68687,1.45502,0.0071884,0.0071884,0.0071884
73,695.312,1.22378,0.96543,1.14904,0.85159,0.64103,0.75064,0.35659,1.75681,1.57418,1.46895,0.0071488,0.0071488,0.0071488
74,704.725,1.15326,0.985,1.13231,0.88278,0.74359,0.85009,0.42719,1.63589,1.37504,1.43394,0.0071092,0.0071092,0.0071092
75,714.144,1.18818,0.96648,1.11467,0.78853,0.79487,0.84701,0.48161,1.53976,1.33481,1.32512,0.0070696,0.0070696,0.0070696
76,723.544,1.22619,0.94427,1.13484,0.70052,0.66667,0.76884,0.41928,1.67566,1.45276,1.42272,0.00703,0.00703,0.00703
77,732.954,1.27745,1.00694,1.17242,0.86948,0.69231,0.78704,0.47382,1.53284,1.37425,1.31442,0.0069904,0.0069904,0.0069904
78,742.335,1.06046,0.90563,1.10052,0.90405,0.64103,0.77777,0.43371,1.69591,1.52805,1.42175,0.0069508,0.0069508,0.0069508
79,751.76,1.1441,0.91125,1.08539,0.84494,0.69875,0.76111,0.44069,1.71385,1.60351,1.47938,0.0069112,0.0069112,0.0069112
80,761.226,1.20725,0.91909,1.1235,0.86843,0.71795,0.77021,0.43549,1.70621,1.64548,1.49621,0.0068716,0.0068716,0.0068716
81,770.617,1.14844,0.9452,1.11074,0.90848,0.61538,0.73652,0.4405,1.70988,1.70537,1.50326,0.006832,0.006832,0.006832
82,780.005,1.16885,0.93725,1.13823,0.82952,0.64103,0.6995,0.41052,1.65858,1.78074,1.4917,0.0067924,0.0067924,0.0067924
83,789.922,1.18361,0.90745,1.11584,0.8559,0.60934,0.69426,0.31897,1.96318,1.94732,1.69805,0.0067528,0.0067528,0.0067528
84,799.487,1.17198,0.90152,1.12424,0.93728,0.61538,0.72668,0.41395,1.64529,1.73669,1.5426,0.0067132,0.0067132,0.0067132
85,808.902,1.13443,0.86897,1.09643,0.82441,0.64103,0.70767,0.36625,1.75548,1.81169,1.61146,0.0066736,0.0066736,0.0066736
86,818.304,1.13513,0.88159,1.09935,0.78567,0.56395,0.63803,0.31929,1.67713,1.96599,1.56455,0.006634,0.006634,0.006634
87,827.709,1.12699,0.86149,1.07816,0.81342,0.5641,0.62971,0.33384,1.59253,1.88258,1.45386,0.0065944,0.0065944,0.0065944
